post_id,post_title,post_date,post_excerpt,lat_lng,location_id,location_name,location_notes,street_address,city,state,zip,county,total_cost,start_year,completion_year,new_deal_agencies,new_deal_categories,artists,contractors,designers,status,menu_order,image
44590,Carpenter&#8217;s Brook Fish Hatchery &#8211; Elbridge NY,2014,"&lt;p&gt;&quot;Located on picturesque countryside in western Onondaga County, the Hatchery was originally developed and operated as a joint venture between Onondaga County and the U.S. Fish and...","43.016277, -76.389759",,,,1672 New York 321,Elbridge,NY,13060,Onondaga,,,1938,Works Progress Administration (WPA),"Hatcheries, Parks and recreation",,,,,,
11601,Pittsburg Baseball Station &#8211; Pittsburg KS,2013,"&quot;Concrete bleachers have a concrete shed roof structure supported on steel beams. Brick walls with a concrete cap surround the ball field on the north, east and west, with an entrance at the NE...","37.41803095202809, -94.71942630688477",,,,12th and Georgia Ave.,Pittsburg,PA,66762,,,,,Works Progress Administration (WPA),"Parks and recreation, Stadiums",,,,,,http://livingnewdeal.org/wp-content/uploads/2013/02/Pittsburg-Baseball-Stadium-300x202.jpg
43197,Federal Building &#8211; Ketchikan AK,2014,"The first federal courthouse in Ketchikan was opened in 1905. By 1913, a federal grand jury requested the government build a new facility. In 1923, a report found the 1905 courthouse...","55.3417272, -131.64436690000002",,,,648 Mission Street,Ketchikan,AK,99901,Ketchikan Gateway,,1937,1938,Works Progress Administration (WPA),"Courthouses, Offices and administrative, Public buildings",,JB Warrack,"Garfield, Harris and Robinson, Stanley-Brown",,,http://livingnewdeal.org/wp-content/uploads/2014/07/Ketchikan_Federal_Building_Alaska-150x225.jpg
4295,Tree Point Lighthouse &#8211; Ketchikan AK,2011,"&quot;Among the many lighthouses designed and erected by the technical staff of the Bureau of Lighthouses is the one at Tree Point, Alaska, which is an interesting example of this type of work. The...","54.802870, -130.933820",,,"&lt;br /&gt;Located near the southwestern end of the Misty Fjords National Monument, seven miles north of the Canadian border, and forty-five miles from Ketchikan.",,Ketchikan,AK,,,,,,Public Works Administration (PWA),"Lighthouses, Utilities and Infrastructure",,,,,,http://livingnewdeal.org/wp-content/uploads/2011/12/647_lighthouse_tree_point_ak-258x225.jpg
4296,Five Finger Lighthouse &#8211; Hobart Bay AK,2011,"&amp;quot;This lighthouse stands on an island approximately 750 by 190 feet in size and Is midway between Stephens Passage and Frederick Sound. The tower, surmounted by a lantern, rises from a...","57.269935, -133.631452",2343,Five Finger Lighthouse - Hobart Bay AK,"&lt;br /&gt;Located on a small island in the midst of other islands known as the Five Finger Islands 65 miles south of Juneau, 40 miles north of Petersburg and about 20 miles from Kake, Alaska.",,Hobart Bay,AK,,,92996,,,Public Works Administration (PWA),Parks and recreation,,,,,,http://livingnewdeal.org/wp-content/uploads/2011/12/647_lighthouse_five_finger_light_station_ak-173x225.jpg
7327,Mount Edgecumbe Trail and Cabin &#8211; Sitka AK,2012,"&quot;Mount Edgecumbe can be easily ascended in a day hike. Although finding marine transportation from the nearby town of Sitka to Kruzof Island is often the biggest obstacle, once hikers reach the...","57.0513889, -135.7586111",,,,Mount Edgecumbe,Sitka,AK,,,,,,Civilian Conservation Corps (CCC),"Lodges, Ranger Stations and Visitor Centers, Parks and recreation, Trails",,,,,,
7328,Mount McKinley National Park Headquarters District &#8211; Healy AK,2012,&quot;The Mount McKinley National Park Headquarters District in what is now called Denali National Park was the original administrative center of the park. It contains an extensive collection of...,"63.721667, -148.963056",,,,Denali Park Road,Healy,AK,99743,,,,,Civilian Conservation Corps (CCC),Parks and recreation,,,,,,http://livingnewdeal.org/wp-content/uploads/2012/07/CCC_bunkhouse_Denali-300x225.jpg
8445,Totem Bight State Historical Park &#8211; Ketchikan AK,2012,"From the Totem Bight State Historical web page:  ï¿_ï¿_ï¿_With the growth of non-Native settlements in Southeast Alaska in the early 1900&#039;s, and the decline of a barter economy, Natives moved to...","55.41992, -131.77236600000003",,,,9883 North Tongass Highway,Ketchikan,AK,99901,,,,,Civilian Conservation Corps (CCC),"Art, Parks and recreation",,,,,,http://livingnewdeal.org/wp-content/uploads/2012/10/Totem_Bight_Community_House_Mud_Bight_Village_North_Tongass_Highway_Ketchikan_vicinity_Ketchikan_Gateway_Borough_Alaska-287x225.jpg
8555,Courthouse Mural &#8211; Anchorage AK,2012,"&quot;The most significant interior space is the original federal district courtroom on the first floor. This room retains its original stained walnut wainscot and benches, and features an...","61.2185501, -149.8936026",,,,605 West Fourth St.,Anchorage,AK,99501,,,,,Works Progress Administration (WPA),"Art, Mural",Arthur Kerrick,,,,,http://livingnewdeal.org/wp-content/uploads/2012/10/Alaskan-Landscapes-300x225.jpg
8556,Post Office Mural &#8211; Wrangell AK,2012,&lt;strong&gt;&quot;&lt;/strong&gt;&lt;span style=&quot;font-size: xx-small;&quot;&gt;&lt;span style=&quot;color: #000000;&quot;&gt;Austin Mecklem and Marianne Appel (husband and wife) painted the...,"56.4717546, -132.3870379",,,Confirmation that this is the correct location needed.,112 Federal Way,Wrangell,AK,99929,,,,,Treasury Section of Fine Arts,"Art, Mural","Austin Mecklem, Marianne Appel",,,,,
