Link,URL,Composer,Librettist,Genre,Year,Location,City,Region,Country
Perdita,http://operadata.stanford.edu/catalog/10121961,Josef Nesvera,Jaroslav Kvapil,Operas,1897,"Prague,  Czech Republic",Prague,,Czech Republic
"Perdita, oder Ein Wintermärchen",http://operadata.stanford.edu/catalog/10101864,Carlo Emanuele Barbieri,Karl Gross,Operas,1865,"Leipzig, Sachsen, Germany",Leipzig,Sachsen,Germany
Pericles,http://operadata.stanford.edu/catalog/10114702,Alan Hovhaness,Alan Hovhaness,Operas,1975,"Shippensburg, Pennsylvania, United States",Shippensburg,Pennsylvania,United States
Petruchio,http://operadata.stanford.edu/catalog/10112847,Howard Groth,Howard Groth,Operas,1954,"Conway, Arkansas, United States",Conway,Arkansas,United States
Piramo e Tisbe,http://operadata.stanford.edu/catalog/10111679,Federico Ghisi,,Operas,1955,"Plauen, Sachsen, Germany",Plauen,Sachsen,Germany
Plump Jack,http://operadata.stanford.edu/catalog/10111642,Gordon Getty,,Operas,1988,"Larkspur, California, United States",Larkspur,California,United States
Porzia,http://operadata.stanford.edu/catalog/10130693,Otto Taubmann,Richard Wilde,Operas,1916,"Frankfurt, Hessen, Germany",Frankfurt,Hessen,Germany
Pozdvizení v Efesu (Scandal in Ephesus),http://operadata.stanford.edu/catalog/10116507,Isa Krejcí,Josef Bachtík,Operas,1945,"Prague,  Czech Republic",Prague,,Czech Republic
La princesse de Milan,http://operadata.stanford.edu/catalog/10122289,Michael Nyman,,Operas,1991,"Avignon, Vaucluse, France",Avignon,Vaucluse,France
Puck,http://operadata.stanford.edu/catalog/10107378,Marcel Delannoy,André Boll,Operas,1949,"Strasbourg, Bas-Rhin, France",Strasbourg,Bas-Rhin,France
Pyramus and Thisbe,http://operadata.stanford.edu/catalog/10106528,Robert Convery,Robert Convery,Operas,1982,"Waterford, Connecticut, United States",Waterford,Connecticut,United States
Pyramus and Thisbe,http://operadata.stanford.edu/catalog/10117140,John Frederick Lampe,,Operas,1745,"London, Greater London, United Kingdom",London,Greater London,United Kingdom
Pyramus and Thisbe,http://operadata.stanford.edu/catalog/10118037,Richard Leveridge,Richard Leveridge,Operas,1716,"London, Greater London, United Kingdom",London,Greater London,United Kingdom
Re Lear,http://operadata.stanford.edu/catalog/10110456,Vito Frazzi,Giovanni Papini,Operas,1939,"Florence, Toscana, Italy",Florence,Toscana,Italy
Riccardo III,http://operadata.stanford.edu/catalog/10104841,Luigi Canepa,[Felice Pozza] Fulvio Fulgonio,Operas,1879,"Milan, Lombardia, Italy",Milan,Lombardia,Italy
Riccardo III,http://operadata.stanford.edu/catalog/10120139,Giovanni Battista Meiners,Andrea Codebò,Operas,1859,"Milan, Lombardia, Italy",Milan,Lombardia,Italy
Riccardo III,http://operadata.stanford.edu/catalog/10130855,Flavio Testi,Flavio Testi,Operas,1987,"Milan, Lombardia, Italy",Milan,Lombardia,Italy
Richard III,http://operadata.stanford.edu/catalog/10127494,Gaston Salvayre,Émile Raymond Blavet,Operas,1883,"St. Petersburg,  Russia",St. Petersburg,,Russia
Rikard III,http://operadata.stanford.edu/catalog/10116744,Igor Kuljeric,Nenad Turkalj,Operas,1987,"Zagreb,  Croatia",Zagreb,,Croatia
Ritter Hans von Dampf,http://operadata.stanford.edu/catalog/10114424,__ Hofmann,,Operas,1800,"Vienna,  Austria",Vienna,,Austria
"Robin Goodfellow, or The Frolics of Puck",http://operadata.stanford.edu/catalog/10118304,Edward James Loder,Edward Loder,Operas,1848,"London, Greater London, United Kingdom",London,Greater London,United Kingdom
Rodrigo di Valenza,http://operadata.stanford.edu/catalog/10111522,Pietro Generali,Felice Romani,Operas,1817,"Milan, Lombardia, Italy",Milan,Lombardia,Italy
Rodrigo di Valenza,http://operadata.stanford.edu/catalog/10122593,Ferdinando Orlandi,Felice Romani,Operas,1820,"Turin, Piemonte, Italy",Turin,Piemonte,Italy
Romeo and Juliet,http://operadata.stanford.edu/catalog/10101887,John Edmund Barkworth,John Edmund Barkworth,Operas,1920,"London, Greater London, United Kingdom",London,Greater London,United Kingdom
Romeo e Giuletta,http://operadata.stanford.edu/catalog/10113080,Pietro Carlo Guglielmi,Serafino Buonaiuti,Operas,1810,"London, Greater London, United Kingdom",London,Greater London,United Kingdom
Romeo e Giulia,http://operadata.stanford.edu/catalog/10128622,Johann Gottfried Schwanenberger,Giulio Roberto di Sanseverino,Operas,1776,"Brunswick, Niedersachsen, Germany",Brunswick,Niedersachsen,Germany
Romeo e Giulietta,http://operadata.stanford.edu/catalog/10121142,Melesio Morales,Felice Romani,Operas,1863,"Mexico City, Mexico, Mexico",Mexico City,Mexico,Mexico
Romeo und Julia,http://operadata.stanford.edu/catalog/10103135,Boris Blacher,,Operas,1947,"Berlin, Germany, Germany",Berlin,Germany,Germany
Romeo und Julia,http://operadata.stanford.edu/catalog/10130398,Heinrich Sutermeister,Heinrich Sutermeister,Operas,1940,"Dresden, Sachsen, Germany",Dresden,Sachsen,Germany
Roméo et Juliette,http://operadata.stanford.edu/catalog/10108552,Pascal Dusapin,Olivier Cadiot,Operas,1989,"Montpellier, Hérault, France",Montpellier,Hérault,France
Roméo et Juliette,http://operadata.stanford.edu/catalog/10127030,Sigismund von Rumling,,Operas,1784,"Alba-Iulia, Alba, Romania",Alba-Iulia,Alba,Romania
Roméo et Juliette,http://operadata.stanford.edu/catalog/10129802,Daniel Steibelt,Alexandre de Ségur,Operas,1793,"Paris,  France",Paris,,France
Rosalind,http://operadata.stanford.edu/catalog/10132900,Florence Wickham,,Operas,1938,"Carmel, New York, United States",Carmel,New York,United States
Der Schiffbruch,http://operadata.stanford.edu/catalog/10114423,Franz Anton Hoffmeister,Georg Korndorfer,Operas,1792,"Vienna,  Austria",Vienna,,Austria
La scuola dei maritati,http://operadata.stanford.edu/catalog/10119485,Vincent Martín y Soler,Lorenzo Da Ponte,Operas,1795,"London, Greater London, United Kingdom",London,Greater London,United Kingdom
"The Sheep-shearing, or Florizel and Perdita",http://operadata.stanford.edu/catalog/10101073,Thomas Augustine Arne,,Operas,1754,"London, Greater London, United Kingdom",London,Greater London,United Kingdom
